,curr,temp,rpm,vibr_var,classifier
0,0.02,37.19,12.0,0.4565319922593216,1
1,0.02,37.17,12.0,0.32943764245047447,1
2,0.02,37.13,0.0,0.29061324006015143,1
3,0.02,37.13,0.0,0.7840117665813339,1
4,0.02,37.11,0.0,0.32541209519155256,1
5,0.02,37.11,0.0,10.617172841467127,1
6,0.02,37.11,0.0,47.29035882758002,1
7,0.54,37.11,0.0,95.66609953888756,1
8,0.64,37.11,54.0,324.9874277839689,1
9,0.59,37.11,54.0,463.3500397519508,1
10,0.68,37.11,201.0,292.70012455609987,1
11,0.85,37.11,471.0,572.1176578152387,1
12,0.73,37.11,471.0,1398.155464567756,1
13,0.63,37.11,939.0,2331.091874701922,1
14,0.57,37.16,939.0,1473.614718821259,1
15,0.54,37.17,939.0,1435.3584088620646,1
16,0.52,37.13,1482.0,1425.730264483025,1
17,0.51,37.11,1974.0,1353.1212063392124,1
18,0.52,37.09,1974.0,2009.9445009806648,1
19,0.53,37.11,1974.0,2012.2771134786944,1
20,0.55,37.11,2634.0,1399.8292812848965,1
21,0.61,37.13,2745.0,1477.0698786241721,1
22,0.63,37.13,2745.0,1688.2338607092458,1
23,0.64,37.11,2781.0,1355.287981661151,1
24,0.66,37.13,2838.0,1248.2464355753439,1
25,0.67,37.13,3009.0,1300.6076376742744,1
26,0.68,37.17,3033.0,1292.9711639370391,1
27,0.67,37.19,3072.0,1405.0680235331713,1
28,0.68,37.17,3069.0,1378.1580643451455,1
29,0.69,37.19,3069.0,1355.432752954896,1
30,0.67,37.19,3069.0,1700.4030847511347,1
31,0.67,37.19,3090.0,1378.8133990565557,1
32,0.67,37.21,3090.0,1684.681817459069,1
33,0.67,37.21,3114.0,1172.5298033603162,1
34,0.66,37.2,3138.0,1386.8940107065143,1
35,0.67,37.24,3138.0,1585.5836168972694,1
36,0.67,37.25,3117.0,1429.4379949117813,1
37,0.67,37.25,3117.0,1609.88404621829,1
38,0.67,37.27,3132.0,1679.85872422751,1
39,0.68,37.29,3132.0,2273.879474744279,1
40,0.66,37.29,3090.0,2113.876880267156,1
41,0.68,37.29,3084.0,2344.8961440610447,1
42,0.66,37.29,3084.0,2094.0175730110227,1
43,0.68,37.27,3084.0,2370.067559760398,1
44,0.67,37.29,3075.0,2424.420125086077,1
45,0.66,37.29,3075.0,4128.289327927143,1
46,0.67,37.29,3042.0,2284.906694228007,1
47,0.65,37.32,3003.0,2398.3627948268836,1
48,0.67,37.33,3063.0,2094.1033126622187,1
49,0.66,37.33,3063.0,2045.0614088089326,1
50,0.68,37.33,3060.0,1898.2286108018636,1
51,0.66,37.33,3060.0,1872.968216992537,1
52,0.66,37.33,3060.0,1999.0092542533625,1
53,0.68,37.35,3084.0,1597.6958366459235,1
54,0.68,37.35,3087.0,1860.0358801080645,1
55,0.61,37.35,3087.0,1598.9288572639518,1
56,0.5,37.35,3087.0,605.3022393596757,1
