,curr,temp,rpm,vibr_var,classifier
0,0.02,36.79,0.0,0.2926380330315952,2
1,0.02,36.79,0.0,5.273473049506661,2
2,0.02,36.87,0.0,306.33929547895787,2
3,0.79,36.85,57.0,341.73812738016125,2
4,0.56,36.85,675.0,419.3494605019533,2
5,0.52,36.85,1206.0,1290.4445793868272,2
6,0.55,36.85,1737.0,1651.248344888273,2
7,0.61,36.81,1737.0,1485.8479958012665,2
8,0.66,36.85,1737.0,1980.6995691340096,2
9,0.69,36.85,2232.0,2369.8082194123376,2
10,0.7,36.87,2622.0,2310.9097317158225,2
11,0.71,36.87,2622.0,2216.383246265152,2
12,0.74,36.85,2790.0,2869.722855434206,2
13,0.8,36.85,3111.0,2381.479139000286,2
14,0.81,36.81,3195.0,2391.1277682845625,2
15,0.78,36.87,3195.0,2583.1886204962475,2
16,0.8,36.87,3300.0,2129.7674470268603,2
17,0.82,36.87,3366.0,2021.515653989045,2
18,0.81,36.88,3459.0,2192.205088614577,2
19,0.82,36.89,3528.0,2199.9585501905335,2
20,0.8,36.92,3528.0,2180.4766050679764,2
21,0.8,36.93,3516.0,2427.3968960552,2
22,0.82,36.89,3471.0,1473.058426911514,2
23,0.78,36.89,3381.0,1614.9360072259835,2
24,0.78,36.96,3351.0,8123.363122497701,2
25,0.77,36.95,3351.0,2468.4311785958225,2
26,0.81,36.95,3351.0,901.039090420935,2
