,curr,temp,rpm,vibr_var,classifier
0,0.02,36.39,0.0,0.39260037646595375,1
1,0.02,36.41,0.0,0.29178174793318545,1
2,0.02,36.39,0.0,0.5147464992608786,1
3,0.49,36.41,18.0,0.49935538385679673,1
4,0.87,36.41,18.0,0.31330999515450775,1
5,0.69,36.41,498.0,5.390999517112041,1
6,0.61,36.41,498.0,0.7507363591953701,1
7,0.54,36.45,1008.0,28.608696281951588,1
8,0.52,36.45,1008.0,123.17910188309904,1
9,0.51,36.39,1527.0,383.04447851273187,1
10,0.5,36.41,1527.0,233.99095364556223,1
11,0.5,36.45,2046.0,385.5952752293208,1
12,0.5,36.45,2448.0,536.5457894736239,1
13,0.51,36.45,2448.0,453.2802317720192,1
14,0.54,36.45,2658.0,878.2743433123164,1
15,0.54,36.47,2691.0,1070.1501714146775,1
16,0.55,36.45,2691.0,933.1182375662648,1
17,0.57,36.47,2739.0,925.7278826652196,1
18,0.67,36.46,2826.0,1889.6707967164214,1
19,0.71,36.47,2826.0,1866.4736238530913,1
20,0.71,36.47,2892.0,1723.5693046836234,1
21,0.72,36.47,2892.0,1634.0888773538197,1
22,0.72,36.47,2892.0,1921.9237252534251,1
23,0.73,36.47,2985.0,1977.0833099951037,1
24,0.75,36.45,3150.0,1696.3578778367173,1
25,0.76,36.45,3207.0,1621.6003235151281,1
26,0.76,36.47,3207.0,1761.6206035730395,1
27,0.72,36.47,3240.0,1586.3502366005291,1
28,0.75,36.49,3240.0,2107.8444664411572,1
29,0.73,36.49,3189.0,2002.393676967446,1
30,0.71,36.45,3189.0,1767.650753259095,1
31,0.73,36.49,3171.0,1779.444898599528,1
32,0.75,36.49,3174.0,1984.3351931432574,1
33,0.73,36.55,3144.0,1658.6561081601008,1
34,0.73,36.58,3144.0,1895.6349517138851,1
35,0.73,36.6,3090.0,2283.248249637625,1
36,0.74,36.57,3075.0,2991.8214340895665,1
37,0.73,36.6,3075.0,3086.729985513979,1
38,0.72,36.63,3123.0,3121.767518106874,1
39,0.75,36.63,3123.0,3038.982778850515,1
40,0.73,36.61,3096.0,2244.730251086134,1
41,0.73,36.65,3096.0,2548.6674987925426,1
42,0.73,36.65,3075.0,3202.7197513275523,1
43,0.73,36.65,3075.0,2895.820516658348,1
44,0.73,36.63,3075.0,2575.9893505550285,1
45,0.76,36.65,3015.0,3173.322672621668,1
46,0.72,36.63,2994.0,2316.414719941814,1
47,0.75,36.65,2937.0,2903.875915016644,1
48,0.62,36.69,2937.0,3090.1570787057112,1
49,0.5,36.69,2937.0,2241.995980202575,1
50,0.51,36.69,2886.0,24120.68001931404,1
51,0.5,36.69,2886.0,1465.6747899560432,1
