"receivedTime","magnitude"
"2016-04-09 14:25:53",644
"2016-04-09 14:25:53",643
"2016-04-09 14:25:53",656
"2016-04-09 14:25:53",673
"2016-04-09 14:25:53",677
"2016-04-09 14:25:53",675
"2016-04-09 14:25:53",681
"2016-04-09 14:25:53",689
"2016-04-09 14:25:53",691
"2016-04-09 14:25:53",691
"2016-04-09 14:25:53",684
"2016-04-09 14:25:53",675
"2016-04-09 14:25:53",672
"2016-04-09 14:25:53",665
"2016-04-09 14:25:53",659
"2016-04-09 14:25:53",661
"2016-04-09 14:25:53",657
"2016-04-09 14:25:53",650
"2016-04-09 14:25:53",646
"2016-04-09 14:25:53",642
"2016-04-09 14:25:53",643
"2016-04-09 14:25:53",649
"2016-04-09 14:25:53",644
"2016-04-09 14:25:53",643
"2016-04-09 14:25:54",646
"2016-04-09 14:25:54",640
"2016-04-09 14:25:54",646
"2016-04-09 14:25:54",659
"2016-04-09 14:25:54",661
"2016-04-09 14:25:54",662
"2016-04-09 14:25:54",668
"2016-04-09 14:25:54",670
"2016-04-09 14:25:54",668
"2016-04-09 14:25:54",675
"2016-04-09 14:25:54",683
"2016-04-09 14:25:54",687
"2016-04-09 14:25:54",686
"2016-04-09 14:25:54",683
"2016-04-09 14:25:54",685
"2016-04-09 14:25:54",681
"2016-04-09 14:25:54",676
"2016-04-09 14:25:54",668
"2016-04-09 14:25:54",648
"2016-04-09 14:25:54",634
"2016-04-09 14:25:54",634
"2016-04-09 14:25:54",628
"2016-04-09 14:25:54",621
"2016-04-09 14:25:54",622
"2016-04-09 14:25:54",617
"2016-04-09 14:25:54",614
"2016-04-09 14:25:54",619
"2016-04-09 14:25:54",625
"2016-04-09 14:25:54",636
"2016-04-09 14:25:54",643
"2016-04-09 14:25:54",641
"2016-04-09 14:25:54",640
"2016-04-09 14:25:54",652
"2016-04-09 14:25:54",665
"2016-04-09 14:25:54",670
"2016-04-09 14:25:54",666
"2016-04-09 14:25:54",659
"2016-04-09 14:25:54",662
"2016-04-09 14:25:54",668
"2016-04-09 14:25:54",672
"2016-04-09 14:25:54",675
"2016-04-09 14:25:54",670
"2016-04-09 14:25:54",659
"2016-04-09 14:25:54",651
"2016-04-09 14:25:54",647
"2016-04-09 14:25:54",645
"2016-04-09 14:25:54",641
"2016-04-09 14:25:54",628
"2016-04-09 14:25:54",619
"2016-04-09 14:25:54",622
"2016-04-09 14:25:54",631
"2016-04-09 14:25:54",647
"2016-04-09 14:25:54",663
"2016-04-09 14:25:54",670
"2016-04-09 14:25:54",674
"2016-04-09 14:25:54",685
"2016-04-09 14:25:54",695
"2016-04-09 14:25:54",702
"2016-04-09 14:25:54",640
"2016-04-09 14:25:54",639
"2016-04-09 14:25:54",648
"2016-04-09 14:25:54",656
"2016-04-09 14:25:54",659
"2016-04-09 14:25:54",659
"2016-04-09 14:25:54",662
"2016-04-09 14:25:54",671
"2016-04-09 14:25:54",676
"2016-04-09 14:25:54",674
"2016-04-09 14:25:54",676
"2016-04-09 14:25:54",677
"2016-04-09 14:25:54",676
"2016-04-09 14:25:54",678
"2016-04-09 14:25:54",675
"2016-04-09 14:25:54",663
"2016-04-09 14:25:54",654
"2016-04-09 14:25:54",646
"2016-04-09 14:25:54",639
"2016-04-09 14:25:54",641
"2016-04-09 14:25:54",638
"2016-04-09 14:25:54",628
"2016-04-09 14:25:54",627
"2016-04-09 14:25:54",633
"2016-04-09 14:25:54",635
"2016-04-09 14:25:54",641
"2016-04-09 14:25:54",647
"2016-04-09 14:25:54",653
"2016-04-09 14:25:54",663
"2016-04-09 14:25:54",678
"2016-04-09 14:25:54",694
"2016-04-09 14:25:54",702
"2016-04-09 14:25:54",705
"2016-04-09 14:25:54",711
"2016-04-09 14:25:54",716
"2016-04-09 14:25:54",716
"2016-04-09 14:25:54",709
"2016-04-09 14:25:54",697
"2016-04-09 14:25:54",684
"2016-04-09 14:25:54",671
"2016-04-09 14:25:54",655
"2016-04-09 14:25:54",638
"2016-04-09 14:25:54",631
"2016-04-09 14:25:54",627
"2016-04-09 14:25:54",620
"2016-04-09 14:25:54",613
"2016-04-09 14:25:54",609
"2016-04-09 14:25:54",607
"2016-04-09 14:25:54",613
"2016-04-09 14:25:54",652
"2016-04-09 14:25:55",649
"2016-04-09 14:25:55",646
"2016-04-09 14:25:55",638
"2016-04-09 14:25:55",633
"2016-04-09 14:25:55",627
"2016-04-09 14:25:55",626
"2016-04-09 14:25:55",633
"2016-04-09 14:25:55",641
"2016-04-09 14:25:55",650
"2016-04-09 14:25:55",657
"2016-04-09 14:25:55",659
"2016-04-09 14:25:55",660
"2016-04-09 14:25:55",659
"2016-04-09 14:25:55",650
"2016-04-09 14:25:55",640
"2016-04-09 14:25:55",629
"2016-04-09 14:25:55",620
"2016-04-09 14:25:55",622
"2016-04-09 14:25:55",626
"2016-04-09 14:25:55",623
"2016-04-09 14:25:55",624
"2016-04-09 14:25:55",634
"2016-04-09 14:25:55",645
"2016-04-09 14:25:55",652
"2016-04-09 14:25:55",652
"2016-04-09 14:25:55",655
"2016-04-09 14:25:55",664
"2016-04-09 14:25:55",668
"2016-04-09 14:25:55",670
"2016-04-09 14:25:55",681
"2016-04-09 14:25:55",692
"2016-04-09 14:25:55",699
"2016-04-09 14:25:55",702
"2016-04-09 14:25:55",698
"2016-04-09 14:25:55",698
"2016-04-09 14:25:55",698
"2016-04-09 14:25:55",685
"2016-04-09 14:25:55",666
"2016-04-09 14:25:55",654
"2016-04-09 14:25:55",641
"2016-04-09 14:25:55",628
"2016-04-09 14:25:55",625
"2016-04-09 14:25:55",625
"2016-04-09 14:25:55",629
"2016-04-09 14:25:55",638
"2016-04-09 14:25:55",645
"2016-04-09 14:25:55",653
"2016-04-09 14:25:55",666
"2016-04-09 14:25:55",672
"2016-04-09 14:25:55",656
"2016-04-09 14:25:55",645
"2016-04-09 14:25:55",640
"2016-04-09 14:25:55",638
"2016-04-09 14:25:55",629
"2016-04-09 14:25:55",624
"2016-04-09 14:25:55",616
"2016-04-09 14:25:55",614
"2016-04-09 14:25:55",613
"2016-04-09 14:25:55",612
"2016-04-09 14:25:55",614
"2016-04-09 14:25:55",620
"2016-04-09 14:25:55",628
"2016-04-09 14:25:55",637
"2016-04-09 14:25:55",641
"2016-04-09 14:25:55",646
"2016-04-09 14:25:55",655
"2016-04-09 14:25:55",667
"2016-04-09 14:25:55",677
"2016-04-09 14:25:55",686
"2016-04-09 14:25:55",692
"2016-04-09 14:25:55",690
"2016-04-09 14:25:55",685
"2016-04-09 14:25:55",677
"2016-04-09 14:25:55",661
"2016-04-09 14:25:55",646
"2016-04-09 14:25:55",637
"2016-04-09 14:25:55",624
"2016-04-09 14:25:55",613
"2016-04-09 14:25:55",616
"2016-04-09 14:25:55",620
"2016-04-09 14:25:55",623
"2016-04-09 14:25:55",635
"2016-04-09 14:25:55",649
"2016-04-09 14:25:55",659
"2016-04-09 14:25:55",670
"2016-04-09 14:25:55",674
"2016-04-09 14:25:55",674
"2016-04-09 14:25:55",682
"2016-04-09 14:25:55",690
"2016-04-09 14:25:55",688
"2016-04-09 14:25:55",679
"2016-04-09 14:25:55",677
"2016-04-09 14:25:55",678
"2016-04-09 14:25:55",676
"2016-04-09 14:25:55",670
"2016-04-09 14:25:55",666
"2016-04-09 14:25:55",660
"2016-04-09 14:25:55",652
"2016-04-09 14:25:55",649
"2016-04-09 14:25:55",658
"2016-04-09 14:25:55",665
"2016-04-09 14:25:55",669
"2016-04-09 14:25:55",673
"2016-04-09 14:25:55",674
"2016-04-09 14:25:55",673
"2016-04-09 14:25:55",682
"2016-04-09 14:25:55",687
"2016-04-09 14:25:55",680
"2016-04-09 14:25:55",676
"2016-04-09 14:25:55",678
"2016-04-09 14:25:55",670
"2016-04-09 14:25:55",662
"2016-04-09 14:25:56",659
"2016-04-09 14:25:56",654
"2016-04-09 14:25:56",647
