"id";"temperatureVal";"currentVal";"rpmVal";"receivedTime";"acc1Avg";"acc1Std";"acc2Avg";"acc2Std";"classification"
37720;26.67;0.59;2946;"2016-04-12 13:53:23";533.259259259;2.48838178255;621.62962963;0.823189287811;2
37721;26.61;0.61;2913;"2016-04-12 13:53:25";531.669950739;2.64564583221;619.778325123;9.04750043879;2
37722;26.67;0.66;2886;"2016-04-12 13:53:26";527.857142857;0.349927106112;614.714285714;16.2191622623;2
37723;26.67;0.61;2886;"2016-04-12 13:53:26";531.743589744;5.86479260008;619.564102564;2.03551633713;2
37724;26.65;0.63;2895;"2016-04-12 13:53:27";530.256410256;1.73527428879;620.166666667;1.07913387239;2
37725;26.65;0.62;2895;"2016-04-12 13:53:27";532.375;0.484122918276;621.375;0.85695682505;2
37726;26.65;0.63;2895;"2016-04-12 13:53:27";533.333333333;0.471404520791;623.0;0.0;2
37727;26.67;0.64;2895;"2016-04-12 13:53:27";530.5;1.58113883008;620.875;0.927024810887;2
37728;26.67;0.76;2895;"2016-04-12 13:53:27";529.8125;0.949917759598;621.8125;1.42384821874;2
37729;26.71;0.83;3138;"2016-04-12 13:53:30";531.888297872;9.305298838;620.914893617;1.5922657112;2
37730;26.71;0.77;3138;"2016-04-12 13:53:30";527.333333333;0.471404520791;619.666666667;1.6996731712;2
37731;26.71;0.75;3138;"2016-04-12 13:53:30";530.394736842;3.04820459394;620.631578947;3.43680583522;2
37732;26.71;0.78;3138;"2016-04-12 13:53:31";526.5;10.1196785886;622.105263158;1.97069949756;2
37733;26.67;0.81;3228;"2016-04-12 13:53:31";529.428571429;1.39970842445;617.428571429;2.68277448019;2
37734;26.71;0.78;3315;"2016-04-12 13:53:32";530.943661972;3.00650620284;621.690140845;3.38010562922;2
37735;26.71;0.76;3315;"2016-04-12 13:53:32";533.280701754;4.22089366926;619.666666667;1.63657036913;2
37736;26.71;0.79;3315;"2016-04-12 13:53:32";530.125;2.84769643747;621.5625;1.90291716845;2
37737;26.71;0.8;3372;"2016-04-12 13:53:33";532.458333333;1.84795307179;622.125;1.87777572321;2
37738;26.73;0.78;3435;"2016-04-12 13:53:36";531.053003534;4.57455126185;621.204946996;2.42054886324;2
37739;26.77;0.79;3435;"2016-04-12 13:53:36";533.904761905;3.54434172684;620.285714286;2.11891385346;2
37740;26.78;0.8;3444;"2016-04-12 13:53:37";530.966942149;2.62201072391;620.652892562;2.61815260022;2
37741;26.77;0.78;3444;"2016-04-12 13:53:38";530.757575758;3.29398260405;620.727272727;9.44929924377;2
37742;26.79;0.78;3498;"2016-04-12 13:53:39";530.514705882;9.0032553705;622.558823529;3.79776386583;2
