current,temp,rpm,vibrAvg,vibrStd,classifier
3.45,31.55,1098,647.2903225806,82.5830413799,3
3.55,31.57,1098,670.4193548387,71.0410032412,3
3.47,31.61,1098,655.564516129,78.971334319,3
3.56,31.57,1104,663.9569892473,83.0419526023,3
3.53,31.57,1104,648.064516129,86.1589312205,3
3.47,31.61,1104,654.9838709677,84.0969407219,3
3.46,31.61,1104,656.8064516129,78.5677925291,3
3.59,31.67,1104,642.5591397849,89.7559968782,3
3.45,31.63,1104,658.0376344086,81.1428693744,3
3.5,31.67,1104,665.0698924731,77.939599284,3
3.48,31.69,1098,649.5,81.1884340775,3
3.47,31.67,1098,664.9731182796,82.9475435218,3
3.52,31.67,1098,646.8817204301,84.9365163896,3
3.42,31.67,1098,628.6774193548,90.5126571426,3
3.43,31.67,1098,658.1182795699,78.1758218903,3
3.43,31.69,1098,664.8440860215,78.7809157098,3
3.44,31.71,1098,630.3817204301,82.3075107905,3
3.42,31.71,1098,647.623655914,87.306703727,3
3.42,31.81,1104,664.5806451613,82.0539846661,3
3.58,31.81,1104,645.376344086,89.4353150016,3
3.56,31.81,1104,636.3978494624,83.0944714056,3
3.4,31.77,1104,645.9731182796,84.3427105668,3
3.55,31.81,1104,633.6720430108,88.646907248,3
3.44,31.81,1104,649.2419354839,89.4720510486,3
3.45,31.77,1104,653.2096774194,84.9109850974,3
3.52,31.81,1113,640.4086021505,83.1086523657,3
3.5,31.81,1113,642.252688172,83.9385695644,3
3.54,31.81,1113,644.6290322581,82.1752455736,3
3.57,31.91,1122,638.9784946237,89.9238002984,3
3.57,31.89,1122,657.6827956989,84.9889393482,3
3.49,31.89,1122,645,85.8332967951,3
3.44,31.91,1125,678.4892473118,64.7703336485,3
3.54,31.91,1125,673.4247311828,69.3519714753,3
3.41,31.97,1116,646.3440860215,83.7351167483,3
3.45,31.95,1116,667.5322580645,71.5090153897,3
3.58,31.97,1116,655.1182795699,85.9094108358,3
3.45,31.99,1116,650.3494623656,86.7211662269,3
3.6,31.99,1113,654.6827956989,81.8486107418,3
3.46,31.99,1113,654.3279569892,79.7224686905,3
3.59,32.03,1107,662.1344086022,87.6316717364,3
3.47,32.03,1107,651.5161290323,80.8948092894,3
3.57,32.03,1107,624.7419354839,83.00147728,3
3.47,32.09,1110,656.7903225806,84.8733028741,3
3.57,32.09,1110,658.2688172043,77.7599891291,3
3.47,32.09,1110,642.6075268817,81.2224593344,3
3.53,32.09,1101,656.4838709677,85.0963543567,3
3.49,32.11,1101,693.1935483871,52.122634149,3
3.5,32.13,1098,640.2365591398,81.6395036481,3
3.49,32.13,1098,639.6827956989,86.8433357998,3
3.51,32.17,1098,668.6021505376,81.0414920657,3
3.51,32.17,1098,649.2903225806,85.3392446682,3
3.55,32.13,1098,664.2849462366,83.95735918,3
3.53,32.17,1095,638.2150537634,89.7678426823,3
3.54,32.17,1095,632.1075268817,87.0138367894,3
3.49,32.19,1095,646.9731182796,86.6349052303,3
3.61,32.19,1095,649.5268817204,86.2638602107,3
3.6,32.19,1095,678.7258064516,66.5978549224,3
3.44,32.19,1095,638.0806451613,86.375455442,3
3.45,32.2,1092,640.123655914,87.8366689267,3
3.48,32.21,1092,670.9139784946,75.286500227,3
3.62,32.25,1092,669.1989247312,71.0426057152,3
3.62,32.25,1092,624.6129032258,89.6433833453,3
3.53,32.27,1089,657.3548387097,83.3515866239,3
3.46,32.06,1089,636.2795698925,90.900851764,3
3.59,32.33,1089,665.1989247312,81.7286896293,3
3.46,32.35,1089,647.0698924731,87.6785456831,3
3.61,32.35,1089,650.5,88.7182473866,3
3.46,32.35,1089,640.9462365591,86.6123939567,3
3.58,32.35,1089,669.1129032258,75.7425119274,3
3.53,32.35,1089,659.9516129032,83.2045854207,3
3.59,32.39,1089,648.5107526882,89.1991995267,3
3.7,32.35,1089,645.2580645161,89.3829989398,3
3.65,32.39,1089,669.2150537634,80.7387729087,3
3.53,32.39,1089,620.7419354839,96.1883125292,3
3.67,32.39,1089,661.9623655914,83.7251242645,3
3.56,32.41,1089,654.9946236559,86.0589631147,3
3.5,32.45,1089,643.3548387097,84.0892568748,3
3.51,32.45,1089,658.6612903226,84.3557387028,3
3.5,32.45,1089,652.8709677419,87.576538053,3
3.62,32.45,1089,662.7688172043,83.344893579,3
3.49,32.45,1089,638.9838709677,86.1460672413,3
3.64,32.45,1089,633.4086021505,90.4770197829,3
3.63,32.45,1086,632.3602150538,85.8303799134,3
3.54,32.41,1086,660.9193548387,82.173295453,3
3.67,32.45,1086,669.8064516129,69.9889788658,3
3.51,32.47,1086,675.247311828,78.3038135978,3
3.55,32.49,1089,638.7365591398,91.9265161004,3
3.59,32.55,1083,643.0430107527,85.8193794665,3
3.57,32.61,1083,655.7419354839,83.707234721,3
3.56,32.6,1083,655.9462365591,78.9690106078,3
3.53,32.61,1083,640.8010752688,92.5786976991,3
3.48,32.61,1086,669.5268817204,75.2563491978,3
3.65,32.61,1086,630.5967741935,93.5113344307,3
3.49,32.63,1089,620.4892473118,88.9291272268,3
3.51,32.67,1089,682.9462365591,61.8456917061,3
3.5,32.67,1089,643.5,89.5435407996,3
3.63,32.67,1089,649.5268817204,94.63280381,3
3.64,32.67,1089,672.7365591398,78.4862186176,3
3.55,32.63,1089,647.9032258065,80.4376556173,3
3.6,32.67,1089,633.6774193548,84.6730157585,3
3.5,32.69,1089,665.9892473118,79.0534723923,3
3.62,32.71,1089,655.5053763441,89.2785448652,3
3.64,32.75,1089,640.4946236559,89.503483882,3
3.61,32.77,1092,639.0913978495,88.3241052058,3
3.49,32.77,1092,674.1827956989,70.5583638895,3
3.56,32.81,1092,650.9462365591,78.4454286848,3
3.56,32.77,1092,647.623655914,87.8466300329,3
3.58,32.77,1092,655.3494623656,83.6222395737,3
3.58,32.77,1092,648.5698924731,86.7407331792,3
3.51,32.81,1092,630.9623655914,87.982303223,3
3.73,32.83,1092,653.5967741935,94.3585804791,3
3.52,32.83,1086,653.8817204301,90.1510500016,3
3.59,32.81,1086,646.5161290323,89.3061802222,3
3.67,32.81,1089,652.1129032258,77.2259855506,3
3.52,32.83,1089,683.3978494624,62.0070477758,3
3.59,32.81,1089,662.6451612903,85.3264629074,3
3.49,32.81,1089,617.1827956989,90.9265266707,3
3.67,32.81,1089,668.7634408602,76.4970865774,3
3.56,32.85,1092,653.2634408602,85.1087884283,3
3.68,32.85,1092,629.7043010753,94.299361352,3
3.73,32.85,1092,659.4623655914,81.0954646704,3
3.56,32.85,1095,665.7431693989,93.4344961794,3
0.02,26.91,120,657.1083333333,0.6027137703,0
0.02,26.91,120,657.0333333333,0.6359594676,0
0.02,26.91,120,657.0444444444,0.6038968107,0
0.02,26.93,120,657.125,0.6777720856,0
0.02,26.93,114,657.0055555556,0.5868676003,0
0.02,26.91,114,657.225,0.5596998203,0
0.02,26.93,114,655.9111111111,22.8374178558,0
0.02,26.93,114,658.3583333333,47.449762176,0
0.02,26.91,114,651.1111111111,55.4377417458,0
0.02,26.91,114,660.4722222222,63.3059529021,0
0.02,26.93,114,675.775,57.9159058703,0
0.02,26.93,114,672.0611111111,60.7424127762,0
0.02,26.93,114,639.4694444444,75.077213289,0
0.02,26.93,114,660.7111111111,67.3564720052,0
0.02,26.93,114,654.4361111111,68.7874045834,0
0.02,26.93,114,645.7388888889,77.494076038,0
0.02,26.93,114,663.0833333333,67.6470722862,0
0.02,26.93,114,646.6638888889,80.5379884581,0
0.02,26.93,42,641.5305555556,89.0951374139,0
0.02,26.93,42,654.0194444444,86.9140198365,0
0.02,26.97,42,643.8222222222,91.4853148844,0
0.02,26.93,42,676.0861111111,75.1534417515,0
0.02,26.93,42,631.5138888889,89.3654160449,0
0.02,26.93,42,654.5527777778,83.1758678481,0
0.02,26.93,42,629.9444444444,91.3178650054,0
0.02,26.91,42,641.4416666667,89.1210907667,0
0.02,26.93,42,646.3027777778,90.7366763593,0
0.02,26.95,42,649.5944444444,94.8921432892,0
0.02,26.93,0,652.0222222222,86.1612155307,0
0.02,26.93,0,660.2305555556,94.1281021901,0
0.02,26.93,0,665.4138888889,83.8743327603,0
2.25,26.93,0,645.7916666667,94.6019346613,3
2.4,26.93,0,633.6944444444,94.5632120872,3
2.54,26.93,0,649.8638888889,93.9392878784,3
2.69,26.97,0,657.1888888889,95.6296844249,3
3.12,26.97,66,637.4888888889,105.1879264771,3
3.14,26.97,207,645.5805555556,107.0582352415,3
2.95,26.99,366,649.0666666667,113.4678662295,3
3.01,26.99,366,655.9055555556,106.9357126305,3
3.22,27.03,543,638.6888888889,112.8122476058,3
3.22,27.05,543,631.8083333333,113.5788734145,3
3.17,27.05,543,639.5388888889,112.8948312904,3
3.25,27.09,747,681.3166666667,74.5115930577,3
3.34,27.15,747,651.0583333333,105.6901626743,3
3.47,27.15,927,635.9555555556,116.4340214801,3
3.38,27.15,927,635.85,107.2534368784,3
3.36,27.17,927,652.7638888889,105.690125295,3
3.55,27.21,927,650.2444444444,99.911773426,3
3.46,27.21,1062,655.6944444444,105.2560421714,3
3.57,27.17,1062,634.275,115.9655812803,3
3.58,27.18,1062,641.5583333333,103.9028228549,3
3.46,27.21,1062,645.6833333333,102.1016364544,3
3.58,27.23,1200,654.8694444444,95.0999308314,3
3.75,27.31,1509,647.525,104.6219619896,3
3.66,27.31,1509,657.5583333333,97.1198683043,3
3.74,27.35,1509,650.5944444444,98.1812494671,3
3.77,27.37,1509,653.3138888889,100.4177597528,3
3.73,27.41,1671,667.2861111111,98.3008637149,3
3.77,27.41,1671,666.1361111111,91.1243401219,3
3.71,27.41,1671,648.8555555556,98.0489459529,3
3.8,27.41,1671,654.4111111111,90.5581328877,3
3.93,27.46,2052,641.3472222222,86.3491233505,3
3.99,27.47,2052,647.3083333333,90.7154399299,3
4.11,27.47,2052,652.1611111111,84.310844425,3
4.02,27.59,2586,648.2277777778,77.3371644565,3
4.13,27.64,2901,652.3638888889,82.1086226788,3
4.16,27.63,2901,631.5805555556,97.8279337506,3
4.27,27.84,3855,644.2416666667,102.399923706,3
4.34,27.87,4134,649.0027777778,98.3385732675,3
4.3,27.87,4134,643.5638888889,98.5046605011,3
4.23,27.91,4134,647.5416666667,93.6800906009,3
4.54,27.93,4425,637.5638888889,107.5856833019,3
4.42,27.93,4425,625.6083333333,107.0761641569,3
4.51,27.93,4425,661.4083333333,94.0199590956,3
4.37,27.95,4425,638.5861111111,107.9733677368,3
4.35,28.08,4998,653.3777777778,96.7970187532,3
4.52,28.25,5004,644.4694444444,102.2470274478,3
4.41,28.31,4893,668.0444444444,85.6420407032,3
4.5,28.43,4260,626.0611111111,113.9840955713,3
4.53,28.39,4260,642.9138888889,106.7359713727,3
4.45,28.45,4260,653.3888888889,105.3455366817,3
4.5,28.45,4260,663.9944444444,95.9211190523,3
4.44,28.45,4260,640.9444444444,115.8294830162,3
4.43,28.43,3780,645.7555555556,104.6544909172,3
4.38,28.43,3780,670.3555555556,86.6605204373,3
4.38,28.47,3780,649.5416666667,105.8166571507,3
4.34,28.47,3780,636.7694444444,105.7354910442,3
4.29,28.51,3780,647.2361111111,105.6131164328,3
4.25,28.53,3780,652.3,101.306076378,3
4.27,28.51,3189,648.6638888889,105.6548406967,3
4.18,28.53,3189,653.2833333333,101.261393049,3
4.21,28.53,3189,647.6805555556,104.8692077448,3
4.14,28.53,3189,627.6916666667,108.3748481352,3
3.93,28.59,2562,631.8277777778,108.5675330308,3
4.25,28.69,1953,641.7,107.3900678213,3
4.43,28.75,1689,634.6833333333,111.9816688868,3
4.33,28.71,1689,664.0027777778,98.4426651692,3
4.53,28.75,1689,628.3111111111,109.2080984425,3
4.47,28.78,1689,639.0611111111,107.0036429229,3
4.45,28.79,1689,616.5583333333,114.1925612361,3
4.54,28.79,1719,653.8888888889,105.4044796059,3
4.43,28.79,1719,651.0444444444,104.6846493163,3
4.45,28.79,1719,633.4972222222,105.1633121127,3
4.4,28.79,1719,661.4416666667,93.2021216825,3
4.41,28.83,2007,663.4972222222,99.459092613,3
4.43,28.85,2007,663.0055555556,88.8666602414,3
4.46,28.85,2007,651.725,97.3929009362,3
4.49,28.85,2493,659.2666666667,89.8536526185,3
4.48,28.91,2493,656.3444444444,82.4684331677,3
4.34,28.95,2493,657.4055555556,82.4460562511,3
4.2,28.95,2493,636.1138888889,90.7197811725,3
4.22,29.02,3966,639.8777777778,87.8096524405,3
4.21,29.04,4440,635.825,91.9853245391,3
4.25,29.05,4440,651.5805555556,98.6970063698,3
4.26,29.03,4440,633.7666666667,106.0202601183,3
4.35,29.03,4440,634.1194444444,109.6959670064,3
4.4,29.09,4440,650.2611111111,103.0272544248,3
4.22,29.09,4440,657.3583333333,106.8724418147,3
4.2,29.09,4440,663.8027777778,100.754721384,3
4.34,29.09,4440,637.9722222222,106.6239722137,3
4.22,29.09,4785,655.1944444444,100.5026311,3
4.29,29.09,4785,648.8722222222,103.188206182,3
4.39,29.09,4785,660.8138888889,102.3716069924,3
4.35,29.09,4785,653.8888888889,95.1314814635,3
4.18,29.09,4785,653.5361111111,101.9472294125,3
4.29,29.09,4785,642.4416666667,98.6122706896,3
4.31,29.09,4785,627.0472222222,105.7950087725,3
4.25,29.09,4785,655.5833333333,95.5686707731,3
4.32,29.09,4785,670.8722222222,82.6530251215,3
4.29,29.09,4785,665.2833333333,86.4721711818,3
4.15,29.09,4785,676.2722222222,77.5849234034,3
4.29,29.09,4785,661.9916666667,93.3611115657,3
4.35,29.09,4785,653.375,92.117540337,3
1.53,35.37,0,676.3139534884,28.7701105779,0
1.33,35.39,99,670.5,28.1335753507,2
1.13,35.39,99,676.0271317829,24.5570692768,2
0.98,35.43,99,675.3100775194,24.315369322,2
0.9,35.39,672,674.3178294574,21.5586398789,2
0.84,35.39,672,678.4108527132,27.0036208893,2
0.8,35.39,1407,677.6085271318,22.3212504547,2
0.81,35.39,1407,676.5542635659,24.9672452332,2
0.88,35.43,2187,677.4612403101,17.6795454451,2
0.8,35.39,2187,676.6356589147,23.0718251562,2
1.03,35.43,3018,674.4496124031,25.0367052221,2
0.92,35.38,3018,677.8023255814,21.5310231023,2
0.79,35.43,3720,675.6511627907,25.89757738,2
1.13,35.39,4044,676.503875969,19.2557749441,2
1.15,35.43,4080,679.996124031,18.2067152749,2
1.15,35.43,4080,675.3139534884,34.1401335678,2
1.14,35.4,4080,675.511627907,32.7694829388,2
1.16,35.43,4095,674.5465116279,25.9770278555,2
1.19,35.43,4134,673.6589147287,23.0659640943,2
1.17,35.43,4134,673.1899224806,25.6917998711,2
1.16,35.43,4134,670.992248062,29.0160330243,2
1.27,35.43,4161,678.5852713178,29.7717820742,2
1.18,35.43,4161,675.0503875969,32.5045223426,2
1.18,35.43,4161,674.0503875969,30.7653248484,2
1.2,35.43,4161,676.8178294574,36.1344623875,2
1.19,35.43,4170,673.8643410853,30.9025883827,2
1.18,35.43,4170,676.1666666667,29.3843702412,2
1.19,35.43,4170,672.8953488372,37.0764020742,2
1.17,35.43,4170,671.1705426357,35.4181278927,2
1.18,35.43,4230,673.5348837209,30.9187598936,2
1.19,35.45,4254,675.1356589147,30.0881297217,2
1.2,35.45,4254,676.4496124031,32.6699400133,2
1.19,35.45,4254,674.003875969,32.7651377007,2
1.2,35.43,4302,677.7286821705,28.4348165061,2
1.2,35.47,4302,676.3953488372,31.8158262516,2
1.2,35.45,4302,677.6821705426,30.4013169075,2
1.19,35.45,4446,673.2558139535,33.2155933937,2
1.17,35.45,4446,673.7751937985,33.5844972334,2
1.27,35.43,4446,674.6434108527,31.353646339,2
1.18,35.43,4467,673.5310077519,32.0100669689,2
1.2,35.53,4458,672.7829457364,30.9699682589,2
1.23,35.55,4458,676.8604651163,30.8774130805,2
1.27,35.53,4389,672.9224806202,30.5603006406,2
1.13,35.55,4389,675.511627907,31.7618600882,2
1.02,35.53,4389,673.7480620155,35.8951219954,2
1,35.59,4389,669.0968992248,30.7006412023,2
1.48,35.55,4314,678.2674418605,32.713612042,2
1.12,35.61,4314,676.3294573643,29.8402072626,2
1.03,35.61,4314,676.4186046512,30.8282810043,2
1.08,35.59,4284,675.0387596899,30.9291270615,2
1.07,35.59,4284,675.2170542636,32.1775503715,2
1.08,35.59,4284,676.6124031008,32.0287685793,2
1.08,35.61,4284,671.4534883721,31.6366202943,2
1.13,35.59,4284,682.0310077519,35.1649354035,2
1.07,35.59,4284,677.2945736434,31.5990881776,2
1.08,35.59,4284,674.7674418605,33.0759079113,2
1.08,35.59,4284,677.1279069767,34.3928951486,2
1.05,35.61,4284,672.484496124,31.5095923616,2
1.07,35.61,4284,679.1162790698,33.7574861998,2
1.1,35.61,4284,672.511627907,33.3925713038,2
1.11,35.61,4284,673.3953488372,34.3370025746,2
1.05,35.59,4284,680.6666666667,34.3453354502,2
1.06,35.59,4284,675.2596899225,32.6580593455,2
1.08,35.59,4284,673.4341085271,31.7454373115,2
1.09,35.59,4284,676.996124031,32.5651997236,2
1.1,35.59,4266,678.4573643411,32.7427150906,2
1.1,35.61,4266,672.7751937985,37.8066768046,2
1.11,35.61,4266,675.523255814,33.3474985676,2
1.1,35.59,4266,675.7364341085,31.8949388174,2
1.17,35.59,4266,674.6705426357,32.3537254558,2
1.12,35.59,4266,677.9031007752,33.9869205074,2
1.09,35.59,4266,675.0775193798,33.5609158996,2
1.09,35.61,4266,674.5503875969,34.3904757954,2
1.08,35.61,4266,675.3682170543,34.6941240797,2
1.1,35.61,4266,678.7441860465,36.9935630415,2
1.16,35.6,4266,676.4689922481,32.6748280387,2
1.15,35.59,4266,678.011627907,29.486888764,2
1.13,35.59,4266,674.5348837209,34.7237261137,2
1.1,35.59,4266,670.8992248062,36.2003137083,2
1.14,35.59,4266,676.9263565891,33.7479026495,2
1.1,35.59,4266,673.2131782946,35.5529561999,2
1.07,35.59,4266,672.480620155,28.1427977693,2
1.09,35.61,4266,673.5,34.3941190664,2
1.1,35.61,4266,674.2984496124,46.9602346779,2
1.14,35.59,4275,672.1976744186,47.2008293271,2
1.08,35.59,4275,675.2674418605,35.2446898805,2
1.1,35.59,4275,674.4263565891,36.5938901144,2
1.12,35.59,4275,674.7829457364,34.161826749,2
1.13,35.59,4275,678.0102389079,32.9973092958,2
0.94,34.17,261,675.3038461538,16.2489048334,1
0.98,34.15,261,669.9307692308,16.4355096158,1
0.85,34.15,261,674.0115384615,15.2177736905,1
0.82,34.13,261,673.0461538462,17.2367503356,1
0.91,34.15,777,677.8384615385,16.6653965986,1
0.81,34.15,777,675.8884615385,17.0672612134,1
0.83,34.14,777,672.3384615385,15.7751283531,1
0.78,34.17,1356,673.8961538462,15.2121151306,1
0.82,34.15,1356,670.1615384615,18.2985093324,1
0.78,34.13,1356,671.9576923077,19.9538443005,1
0.86,34.15,1965,673.4192307692,16.0299363987,1
0.88,34.21,1965,678.8653846154,13.7421709825,1
0.8,34.17,2562,672.2346153846,17.7016609892,1
0.77,34.17,2562,673.8230769231,14.3231740061,1
