curr,temp,rpm,vibr_var,classifier
0.71,36.47,2892,1723.5693046836,1
0.72,36.47,2892,1634.0888773538,1
0.72,36.47,2892,1921.9237252534,1
0.73,36.47,2985,1977.0833099951,1
0.75,36.45,3150,1696.3578778367,1
0.76,36.45,3207,1621.6003235151,1
0.76,36.47,3207,1761.620603573,1
0.72,36.47,3240,1586.3502366005,1
0.75,36.49,3240,2107.8444664412,1
0.73,36.49,3189,2002.3936769675,1
0.71,36.45,3189,1767.6507532591,1
0.73,36.49,3171,1779.4448985995,1
0.75,36.49,3174,1984.3351931433,1
0.73,36.55,3144,1658.6561081601,1
0.73,36.58,3144,1895.6349517139,1
0.73,36.6,3090,2283.2482496376,1
0.74,36.57,3075,2991.8214340896,1
0.73,36.6,3075,3086.729985514,1
0.72,36.63,3123,3121.7675181069,1
0.75,36.63,3123,3038.9827788505,1
0.73,36.61,3096,2244.7302510861,1
0.73,36.65,3096,2548.6674987926,1
0.73,36.65,3075,3202.7197513276,1
0.73,36.65,3075,2895.8205166584,1
0.73,36.63,3075,2575.989350555,1
0.76,36.65,3015,3173.3226726217,1
0.72,36.63,2994,2316.4147199418,1
0.75,36.65,2937,2903.8759150167,1
0.62,36.69,2937,3090.1570787057,1
0.5,36.69,2937,2241.9959802026,1
0.51,36.69,2886,24120.680019314,1
0.5,36.69,2886,1465.6747899561,1
0.85,36.23,36,1869.0713480593,2
1.09,36.25,36,1999.8999136443,2
1.01,36.22,252,1724.742632488,2
0.83,36.23,252,2005.8966230343,2
0.73,36.25,252,2317.686923916,2
0.74,36.21,702,2326.8768611945,2
0.67,36.25,702,2145.6432824289,2
0.69,36.23,1218,2645.9945595855,2
0.68,36.23,1218,2751.7644577766,2
0.67,36.25,1218,2751.0454822289,2
0.69,36.29,1782,2161.9555540406,2
0.68,36.24,1782,2234.5620943551,2
0.66,36.29,1782,2175.5735660395,2
0.61,36.24,2652,2570.5884192346,2
0.69,36.25,2652,2157.489782747,2
0.7,36.23,2760,2125.8485592218,2
0.71,36.25,2760,2053.9621125352,2
0.74,36.23,2760,2623.5464321425,2
0.73,36.28,2808,2577.5964594127,2
0.73,36.26,2808,2482.0515225888,2
0.7,36.23,2808,2272.8297654758,2
0.69,36.25,2811,2631.0665303154,2
0.68,36.29,2829,2408.0250704481,2
0.65,36.23,2871,2945.2273884192,2
0.68,36.25,2910,2736.5827788382,2
0.71,36.25,2910,2984.9727024815,2
0.69,36.25,2976,2958.6218389237,2
0.72,36.29,2976,3200.3155394963,2
0.7,36.26,3048,2134.17583856,2
0.7,36.29,3048,1962.7722161621,2
0.72,36.26,3120,2496.807376602,2
0.72,36.31,3135,2174.9261158075,2
0.71,36.31,3144,2198.2827697481,2
0.75,36.29,3090,2881.6171120806,2
0.72,36.29,3087,3077.4810108171,2
0.73,36.31,3045,2618.9241205344,2
0.74,36.31,3045,2862.6990591763,2
0.72,36.4,3057,2801.6794473228,2
0.74,36.39,3087,2489.4712935186,2
0.74,36.39,3087,2989.9580401781,2
0.77,36.44,3108,3104.2750159075,2
0.72,36.41,3123,3032.2913871465,2
0.72,36.49,3117,3040.3212026178,2
0.72,36.49,3117,2680.0657440232,2
0.71,36.53,3078,2401.8748568311,2
0.7,36.49,3078,3259.6351195345,2
0.72,36.49,3078,3401.1622761566,2
0.71,36.53,2970,2733.5990273611,2
0.71,36.54,2970,2800.7770157258,2
0.73,36.53,2970,2834.9669666393,2
0.65,36.55,2943,3295.1976683937,2
0.65,36.53,2943,3309.3136714843,2
0.64,36.53,2913,2954.2501681664,2
0.58,36.55,2913,2003.481883465,2
0.67,37.33,975,349.7111226204,2
0.6,37.33,975,601.6934714446,2
0.56,37.3,1935,325.7704423292,2
0.52,37.29,1935,386.757931131,2
0.52,37.33,1935,238.6126735722,2
0.49,37.34,2559,218.8580767077,2
0.5,37.33,2559,1445.9811310191,2
0.59,37.32,2700,875.6015565509,2
0.7,37.35,2733,616.1722088466,2
0.72,37.33,2781,368.0915145577,2
0.73,37.3,2781,186.198281075,2
0.73,37.35,2832,255.5568533035,2
0.74,37.37,2919,985.730537514,2
0.73,37.35,2919,2186.2530739082,2
0.74,37.37,3012,2843.612256439,2
0.76,37.37,3078,2316.2067329227,2
0.75,37.37,3165,2151.9725979843,2
0.77,37.37,3234,2362.7287010078,2
0.74,37.37,3255,2519.2478135498,2
0.72,37.37,3255,2356.9511842105,2
0.74,37.37,3273,2390.8801595744,2
0.74,37.37,3306,2430.4082978723,2
0.73,37.37,3279,2103.4714025755,2
0.76,37.37,3279,2190.4789333705,2
0.75,37.41,3258,2240.4228751398,2
0.73,37.43,3258,2655.6947704366,2
0.74,37.43,3258,2438.4379283313,2
0.74,37.43,3273,1738.9498460245,2
0.73,37.41,3273,2934.1178219484,2
0.74,37.43,3246,1918.5740453526,2
0.74,37.43,3246,2621.6530627098,2
0.73,37.43,3228,2365.8311898095,2
0.72,37.43,3204,55147.2244316904,2
0.72,37.43,3204,2153.6008958557,2
0.76,37.48,3216,2901.5560526306,2
0.78,37.49,3171,1691.5034686441,2
0.75,37.49,3171,1857.0531662924,2
0.7,37.46,3129,2372.5427575578,2
0.73,37.51,3129,2193.0153471435,2
0.71,37.49,3156,2456.6231662925,2
0.74,37.5,3195,1537.7998404246,2
0.74,37.49,3195,1544.9623096296,2
0.72,37.51,3195,1419.8462262029,2
0.71,37.51,3198,1591.0479535265,2
0.73,37.51,3189,1242.6992273227,2
0.75,37.53,3138,1881.4637989913,2
0.74,37.53,3138,1688.3545576699,2
0.76,37.51,3138,1762.9709714437,2
0.74,37.53,3015,1450.5972480394,2
0.72,37.59,3015,1481.3358426643,2
0.5,37.63,3072,1589.2508930562,2
0.5,37.67,3000,149.4385386329,2
0.49,37.63,3000,198.9595184761,2
0.5,37.63,3000,176.8484770428,2
0.79,36.85,57,341.7381273802,2
0.56,36.85,675,419.349460502,2
0.52,36.85,1206,1290.4445793868,2
0.55,36.85,1737,1651.2483448883,2
0.61,36.81,1737,1485.8479958013,2
0.66,36.85,1737,1980.699569134,2
0.69,36.85,2232,2369.8082194123,2
0.7,36.87,2622,2310.9097317158,2
0.71,36.87,2622,2216.3832462652,2
0.74,36.85,2790,2869.7228554342,2
0.8,36.85,3111,2381.4791390003,2
0.81,36.81,3195,2391.1277682846,2
0.78,36.87,3195,2583.1886204963,2
0.8,36.87,3300,2129.7674470269,2
0.82,36.87,3366,2021.5156539891,2
0.81,36.88,3459,2192.2050886146,2
0.82,36.89,3528,2199.9585501905,2
0.8,36.92,3528,2180.476605068,2
0.8,36.93,3516,2427.3968960552,2
0.82,36.89,3471,1473.0584269115,2
0.78,36.89,3381,1614.936007226,2
0.78,36.96,3351,8123.3631224977,2
0.77,36.95,3351,2468.4311785958,2
0.81,36.95,3351,901.0390904209,2
0.85,36.23,36,1869.0713480593,2
1.09,36.25,36,1999.8999136443,2
1.01,36.22,252,1724.742632488,2
0.83,36.23,252,2005.8966230343,2
0.73,36.25,252,2317.686923916,2
0.74,36.21,702,2326.8768611945,2
0.67,36.25,702,2145.6432824289,2
0.69,36.23,1218,2645.9945595855,2
0.68,36.23,1218,2751.7644577766,2
0.67,36.25,1218,2751.0454822289,2
0.69,36.29,1782,2161.9555540406,2
0.68,36.24,1782,2234.5620943551,2
0.66,36.29,1782,2175.5735660395,2
0.61,36.24,2652,2570.5884192346,2
0.69,36.25,2652,2157.489782747,2
0.7,36.23,2760,2125.8485592218,2
0.71,36.25,2760,2053.9621125352,2
0.74,36.23,2760,2623.5464321425,2
0.73,36.28,2808,2577.5964594127,2
0.73,36.26,2808,2482.0515225888,2
0.7,36.23,2808,2272.8297654758,2
0.69,36.25,2811,2631.0665303154,2
0.68,36.29,2829,2408.0250704481,2
0.65,36.23,2871,2945.2273884192,2
0.68,36.25,2910,2736.5827788382,2
0.71,36.25,2910,2984.9727024815,2
0.69,36.25,2976,2958.6218389237,2
0.72,36.29,2976,3200.3155394963,2
0.7,36.26,3048,2134.17583856,2
0.7,36.29,3048,1962.7722161621,2
0.72,36.26,3120,2496.807376602,2
0.72,36.31,3135,2174.9261158075,2
0.71,36.31,3144,2198.2827697481,2
0.75,36.29,3090,2881.6171120806,2
0.72,36.29,3087,3077.4810108171,2
0.73,36.31,3045,2618.9241205344,2
0.74,36.31,3045,2862.6990591763,2
0.72,36.4,3057,2801.6794473228,2
0.74,36.39,3087,2489.4712935186,2
0.74,36.39,3087,2989.9580401781,2
0.77,36.44,3108,3104.2750159075,2
0.72,36.41,3123,3032.2913871465,2
0.72,36.49,3117,3040.3212026178,2
0.72,36.49,3117,2680.0657440232,2
0.71,36.53,3078,2401.8748568311,2
0.7,36.49,3078,3259.6351195345,2
0.72,36.49,3078,3401.1622761566,2
0.71,36.53,2970,2733.5990273611,2
0.71,36.54,2970,2800.7770157258,2
0.73,36.53,2970,2834.9669666393,2
0.65,36.55,2943,3295.1976683937,2
0.65,36.53,2943,3309.3136714843,2
0.64,36.53,2913,2954.2501681664,2
0.58,36.55,2913,2003.481883465,2
