"receivedTime";"magnitude1";"magnitude2"
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;621
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";531;622
"2016-04-12 13:18:02";531;622
"2016-04-12 13:18:02";531;622
"2016-04-12 13:18:02";531;622
"2016-04-12 13:18:02";531;622
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";531;621
"2016-04-12 13:18:02";532;621
"2016-04-12 13:18:02";532;621
"2016-04-12 13:18:02";532;621
"2016-04-12 13:18:02";532;621
"2016-04-12 13:18:02";532;621
"2016-04-12 13:18:02";532;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;620
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";533;619
"2016-04-12 13:18:02";532;619
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:02";532;618
"2016-04-12 13:18:03";532;618
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
"2016-04-12 13:18:03";531;621
