,current,temp,rpm
191,3.44,31.81,1104.0
192,3.45,31.77,1104.0
193,3.52,31.81,1113.0
194,3.5,31.81,1113.0
195,3.54,31.81,1113.0
196,3.57,31.91,1122.0
197,3.57,31.89,1122.0
198,3.49,31.89,1122.0
199,3.44,31.91,1125.0
200,3.54,31.91,1125.0
201,3.41,31.97,1116.0
202,3.45,31.95,1116.0
203,3.58,31.97,1116.0
204,3.45,31.99,1116.0
205,3.6,31.99,1113.0
206,3.46,31.99,1113.0
207,3.59,32.03,1107.0
208,3.47,32.03,1107.0
209,3.57,32.03,1107.0
210,3.47,32.09,1110.0
211,3.57,32.09,1110.0
212,3.47,32.09,1110.0
213,3.53,32.09,1101.0
214,3.49,32.11,1101.0
215,3.5,32.13,1098.0
216,3.49,32.13,1098.0
217,3.51,32.17,1098.0
218,3.51,32.17,1098.0
219,3.55,32.13,1098.0
220,3.53,32.17,1095.0
221,3.54,32.17,1095.0
222,3.49,32.19,1095.0
223,3.61,32.19,1095.0
224,3.6,32.19,1095.0
225,3.44,32.19,1095.0
226,3.45,32.2,1092.0
227,3.48,32.21,1092.0
228,3.62,32.25,1092.0
229,3.62,32.25,1092.0
230,3.53,32.27,1089.0
231,3.46,32.06,1089.0
232,3.59,32.33,1089.0
233,3.46,32.35,1089.0
234,3.61,32.35,1089.0
235,3.46,32.35,1089.0
236,3.58,32.35,1089.0
237,3.53,32.35,1089.0
238,3.59,32.39,1089.0
239,3.7,32.35,1089.0
240,3.65,32.39,1089.0
241,3.53,32.39,1089.0
242,3.67,32.39,1089.0
243,3.56,32.41,1089.0
244,3.5,32.45,1089.0
245,3.51,32.45,1089.0
246,3.5,32.45,1089.0
247,3.62,32.45,1089.0
248,3.49,32.45,1089.0
249,3.64,32.45,1089.0
250,3.63,32.45,1086.0
251,3.54,32.41,1086.0
252,3.67,32.45,1086.0
253,3.51,32.47,1086.0
254,3.55,32.49,1089.0
255,3.59,32.55,1083.0
256,3.57,32.61,1083.0
257,3.56,32.6,1083.0
258,3.53,32.61,1083.0
259,3.48,32.61,1086.0
260,3.65,32.61,1086.0
261,3.49,32.63,1089.0
262,3.51,32.67,1089.0
263,3.5,32.67,1089.0
264,3.63,32.67,1089.0
265,3.64,32.67,1089.0
266,3.55,32.63,1089.0
267,3.6,32.67,1089.0
268,3.5,32.69,1089.0
269,3.62,32.71,1089.0
270,3.64,32.75,1089.0
271,3.61,32.77,1092.0
272,3.49,32.77,1092.0
273,3.56,32.81,1092.0
274,3.56,32.77,1092.0
275,3.58,32.77,1092.0
276,3.58,32.77,1092.0
277,3.51,32.81,1092.0
278,3.73,32.83,1092.0
279,3.52,32.83,1086.0
280,3.59,32.81,1086.0
281,3.67,32.81,1089.0
282,3.52,32.83,1089.0
283,3.59,32.81,1089.0
284,3.49,32.81,1089.0
285,3.67,32.81,1089.0
286,3.56,32.85,1092.0
287,3.68,32.85,1092.0
288,3.73,32.85,1092.0
289,3.56,32.85,1095.0
