,vibration
798,668
799,673
800,672
801,659
802,645
803,642
804,647
805,655
806,660
807,667
808,675
809,673
810,665
811,663
812,668
813,670
814,669
815,668
816,667
817,665
818,676
819,680
820,680
821,674
822,673
823,678
824,676
825,667
826,658
827,649
828,641
829,636
830,633
831,636
832,643
833,651
834,655
835,656
836,657
837,659
838,665
839,672
840,678
841,688
842,698
843,697
844,686
845,680
846,679
847,673
848,667
849,671
850,680
851,685
852,683
853,683
854,683
855,682
856,683
857,688
858,689
859,684
860,679
861,678
862,678
863,679
864,684
865,691
866,695
867,690
868,698
869,703
870,707
871,706
872,698
873,689
874,684
875,679
876,672
877,672
878,681
879,686
880,682
881,680
882,683
883,686
884,685
885,683
886,685
887,687
888,680
889,671
890,670
891,674
892,677
893,682
894,691
895,696
896,695
897,695
898,694
899,691
900,688
901,685
902,680
903,673
904,668
905,669
906,670
907,671
908,679
909,688
910,686
911,677
912,672
913,668
914,666
915,669
916,673
917,673
918,681
919,674
920,663
921,661
922,666
923,668
924,669
925,676
926,684
927,688
928,693
929,695
930,688
931,678
932,667
933,656
934,642
935,630
936,626
937,624
938,618
939,613
940,617
941,625
942,635
943,648
944,659
945,668
946,677
947,686
948,689
949,691
950,698
951,702
952,699
953,688
954,678
955,671
956,665
957,663
958,669
959,675
960,674
961,672
962,674
963,676
964,674
965,676
966,685
967,692
968,684
969,683
970,680
971,673
972,669
973,672
974,672
975,666
976,659
977,657
978,657
979,654
980,645
981,636
982,633
983,636
984,638
985,644
986,663
987,683
988,690
989,691
990,697
991,703
992,705
993,705
994,703
995,696
996,685
997,675
998,666
999,660
1000,664
1001,674
1002,679
1003,677
1004,676
1005,679
1006,679
1007,676
1008,681
1009,691
1010,690
1011,680
1012,676
1013,682
1014,685
1015,678
1016,674
1017,681
1018,694
1019,697
1020,691
1021,683
1022,680
1023,680
1024,675
1025,665
1026,657
1027,653
1028,652
1029,651
1030,653
1031,654
1032,652
1033,650
1034,651
1035,655
1036,660
1037,669
1038,678
1039,683
1040,685
1041,683
1042,680
1043,680
1044,685
1045,694
1046,700
1047,700
1048,699
1049,699
1050,697
1051,690
1052,688
1053,692
1054,690
1055,677
1056,667
1057,668
1058,670
1059,671
1060,681
1061,688
1062,684
1063,678
1064,677
1065,679
1066,679
1067,680
1068,683
1069,677
1070,672
1071,670
1072,670
1073,670
1074,677
1075,690
1076,693
1077,684
1078,679
1079,682
1080,681
1081,668
1082,653
1083,644
1084,636
1085,621
1086,610
1087,614
1088,625
1089,634
1090,641
1091,650
1092,657
1093,663
1094,669
1095,676
1096,687
1097,699
1098,706
1099,706
1100,704
