,Unnamed: 0,current,temp,rpm,vibrAvg,vibrStd
0,0,0.02,26.91,120.0,657.1083333333333,0.6027137702831161
1,1,0.02,26.91,120.0,657.0333333333333,0.6359594676112972
2,2,0.02,26.91,120.0,657.0444444444445,0.6038968107422752
3,3,0.02,26.93,120.0,657.125,0.677772085586298
4,4,0.02,26.93,114.0,657.0055555555556,0.5868676002702088
5,5,0.02,26.91,114.0,657.225,0.5596998203402328
6,6,0.02,26.93,114.0,655.9111111111112,22.837417855812586
7,7,0.02,26.93,114.0,658.3583333333333,47.44976217596412
8,8,0.02,26.91,114.0,651.1111111111111,55.43774174582279
9,9,0.02,26.91,114.0,660.4722222222222,63.305952902073166
10,10,0.02,26.93,114.0,675.775,57.91590587030283
11,11,0.02,26.93,114.0,672.0611111111111,60.74241277621876
12,12,0.02,26.93,114.0,639.4694444444444,75.07721328903273
13,13,0.02,26.93,114.0,660.7111111111111,67.35647200520269
14,14,0.02,26.93,114.0,654.4361111111111,68.78740458340457
15,15,0.02,26.93,114.0,645.7388888888889,77.49407603802793
16,16,0.02,26.93,114.0,663.0833333333334,67.6470722861595
17,17,0.02,26.93,114.0,646.6638888888889,80.53798845809686
18,18,0.02,26.93,42.0,641.5305555555556,89.09513741390418
19,19,0.02,26.93,42.0,654.0194444444444,86.91401983647863
20,20,0.02,26.97,42.0,643.8222222222222,91.48531488444566
21,21,0.02,26.93,42.0,676.0861111111111,75.15344175151772
22,22,0.02,26.93,42.0,631.5138888888889,89.36541604489145
23,23,0.02,26.93,42.0,654.5527777777778,83.17586784809613
24,24,0.02,26.93,42.0,629.9444444444445,91.3178650053526
25,25,0.02,26.91,42.0,641.4416666666667,89.12109076668914
26,26,0.02,26.93,42.0,646.3027777777778,90.73667635927819
27,27,0.02,26.95,42.0,649.5944444444444,94.89214328923492
28,28,0.02,26.93,0.0,652.0222222222222,86.16121553070381
29,29,0.02,26.93,0.0,660.2305555555556,94.1281021901195
30,30,0.02,26.93,0.0,665.4138888888889,83.87433276031264
31,31,2.25,26.93,0.0,645.7916666666666,94.60193466133062
32,32,2.4,26.93,0.0,633.6944444444445,94.5632120871902
33,33,2.54,26.93,0.0,649.8638888888889,93.93928787838858
34,34,2.69,26.97,0.0,657.1888888888889,95.62968442492047
35,35,3.12,26.97,66.0,637.4888888888889,105.1879264770592
36,36,3.14,26.97,207.0,645.5805555555555,107.05823524150158
37,37,2.95,26.99,366.0,649.0666666666667,113.46786622946017
38,38,3.01,26.99,366.0,655.9055555555556,106.93571263054484
39,39,3.22,27.03,543.0,638.6888888888889,112.81224760581868
40,40,3.22,27.05,543.0,631.8083333333333,113.57887341451803
41,41,3.17,27.05,543.0,639.5388888888889,112.89483129044822
42,42,3.25,27.09,747.0,681.3166666666667,74.51159305772492
43,43,3.34,27.15,747.0,651.0583333333333,105.69016267425796
44,44,3.47,27.15,927.0,635.9555555555555,116.43402148008411
45,45,3.38,27.15,927.0,635.85,107.25343687836872
46,46,3.36,27.17,927.0,652.7638888888889,105.69012529501771
47,47,3.55,27.21,927.0,650.2444444444444,99.91177342603726
48,48,3.46,27.21,1062.0,655.6944444444445,105.25604217136538
49,49,3.57,27.17,1062.0,634.275,115.96558128025171
50,50,3.58,27.18,1062.0,641.5583333333333,103.90282285492643
51,51,3.46,27.21,1062.0,645.6833333333333,102.101636454401
52,52,3.58,27.23,1200.0,654.8694444444444,95.09993083139337
53,53,3.75,27.31,1509.0,647.525,104.62196198961074
54,54,3.66,27.31,1509.0,657.5583333333333,97.11986830429933
55,55,3.74,27.35,1509.0,650.5944444444444,98.1812494670626
56,56,3.77,27.37,1509.0,653.3138888888889,100.41775975277197
57,57,3.73,27.41,1671.0,667.2861111111112,98.30086371491741
58,58,3.77,27.41,1671.0,666.1361111111111,91.1243401219143
59,59,3.71,27.41,1671.0,648.8555555555556,98.0489459528716
60,60,3.8,27.41,1671.0,654.4111111111112,90.55813288765822
61,61,3.93,27.46,2052.0,641.3472222222222,86.3491233504722
62,62,3.99,27.47,2052.0,647.3083333333333,90.71543992985245
63,63,4.11,27.47,2052.0,652.1611111111112,84.31084442498675
64,64,4.02,27.59,2586.0,648.2277777777778,77.3371644565072
65,65,4.13,27.64,2901.0,652.3638888888889,82.10862267880199
66,66,4.16,27.63,2901.0,631.5805555555555,97.82793375060919
67,67,4.27,27.84,3855.0,644.2416666666667,102.39992370602627
