,vibration
798,604
799,607
800,620
801,638
802,655
803,670
804,685
805,698
806,704
807,709
808,717
809,693
810,691
811,692
812,695
813,700
814,700
815,684
816,663
817,659
818,666
819,667
820,657
821,647
822,640
823,637
824,632
825,621
826,610
827,614
828,631
829,649
830,662
831,672
832,686
833,702
834,706
835,698
836,690
837,690
838,697
839,705
840,705
841,703
842,706
843,709
844,706
845,700
846,694
847,688
848,685
849,681
850,673
851,669
852,669
853,673
854,679
855,680
856,675
857,671
858,668
859,688
860,686
861,683
862,681
863,687
864,693
865,693
866,687
867,681
868,679
869,682
870,685
871,681
872,670
873,662
874,662
875,663
876,662
877,664
878,673
879,680
880,684
881,688
882,694
883,697
884,697
885,691
886,684
887,679
888,677
889,675
890,673
891,671
892,673
893,678
894,685
895,689
896,693
897,695
898,695
899,690
900,682
901,671
902,659
903,652
904,645
905,637
906,631
907,627
908,624
909,673
910,680
911,693
912,704
913,701
914,691
915,688
916,694
917,693
918,682
919,673
920,673
921,678
922,679
923,677
924,684
925,700
926,706
927,700
928,689
929,677
930,671
931,669
932,658
933,640
934,635
935,638
936,629
937,617
938,615
939,622
940,637
941,658
942,672
943,681
944,692
945,709
946,721
947,725
948,720
949,705
950,687
951,675
952,670
953,669
954,668
955,665
956,668
957,676
958,682
959,691
960,691
961,684
962,672
963,665
964,660
965,659
966,659
967,658
968,655
969,656
970,656
971,656
972,660
973,671
974,687
975,698
976,703
977,703
978,705
979,705
980,698
981,691
982,695
983,703
984,698
985,691
986,696
987,705
988,705
989,702
990,702
991,698
992,697
993,701
994,699
995,693
996,688
997,682
998,671
999,662
1000,654
1001,646
1002,643
1003,641
1004,633
1005,624
1006,619
1007,617
1008,617
1009,692
1010,693
1011,689
1012,684
1013,685
1014,690
1015,692
1016,692
1017,691
1018,688
1019,684
1020,682
1021,678
1022,676
1023,677
1024,677
1025,672
1026,672
1027,676
1028,677
1029,679
1030,678
1031,672
1032,669
1033,678
1034,685
1035,683
1036,680
1037,682
1038,687
1039,689
1040,687
1041,680
1042,675
1043,677
1044,680
1045,678
1046,674
1047,675
1048,682
1049,691
1050,693
1051,686
1052,678
1053,674
1054,669
1055,660
1056,647
1057,638
1058,635
1059,688
1060,697
1061,700
1062,699
1063,702
1064,707
1065,704
1066,696
1067,689
1068,686
1069,691
1070,696
1071,694
1072,688
1073,685
1074,688
1075,693
1076,694
1077,686
1078,679
1079,678
1080,678
1081,673
1082,671
1083,672
1084,668
1085,663
1086,663
1087,666
1088,668
1089,671
1090,674
1091,675
1092,678
1093,685
1094,694
1095,700
1096,696
1097,686
1098,684
1099,688
1100,688
1101,685
1102,683
1103,679
1104,678
1105,683
1106,681
1107,667
1108,658
1109,674
1110,674
1111,671
1112,665
1113,657
1114,652
1115,654
1116,653
1117,654
1118,663
1119,675
1120,686
1121,692
1122,690
1123,685
1124,679
1125,675
1126,676
1127,680
1128,682
1129,683
1130,684
1131,683
1132,678
1133,669
1134,663
1135,659
1136,655
1137,655
1138,658
1139,664
1140,672
1141,674
1142,668
1143,658
1144,649
1145,640
1146,630
1147,625
1148,625
1149,633
1150,647
1151,662
1152,676
1153,688
1154,695
1155,700
1156,707
1157,714
1158,714
1159,648
1160,659
1161,671
1162,682
1163,693
1164,702
1165,701
1166,696
1167,695
1168,690
1169,680
1170,674
1171,674
1172,677
1173,683
1174,689
1175,694
1176,702
1177,713
1178,718
1179,718
1180,713
1181,700
1182,682
1183,666
1184,655
1185,648
1186,643
1187,639
1188,630
1189,622
1190,622
1191,627
1192,633
1193,640
1194,647
1195,656
1196,674
1197,692
1198,698
1199,692
1200,686
1201,682
1202,687
1203,691
1204,682
1205,673
1206,678
1207,688
1208,693
1209,664
1210,684
1211,692
1212,690
1213,691
1214,699
1215,710
1216,719
1217,719
1218,709
1219,701
1220,698
1221,690
1222,679
1223,671
1224,667
1225,669
1226,676
1227,685
1228,690
1229,689
1230,686
1231,688
1232,690
1233,687
1234,684
1235,680
1236,670
1237,662
1238,664
1239,665
1240,652
1241,634
1242,621
1243,620
1244,628
1245,634
1246,634
1247,639
1248,657
1249,678
1250,691
1251,695
1252,696
1253,696
1254,698
1255,703
1256,699
1257,687
1258,688
1259,704
1260,686
1261,675
1262,672
1263,671
1264,663
1265,653
1266,650
1267,652
1268,660
1269,667
1270,661
1271,646
1272,640
1273,647
1274,651
1275,645
1276,637
1277,640
1278,651
1279,654
1280,644
1281,635
1282,633
1283,636
1284,646
1285,659
1286,665
1287,663
1288,669
1289,691
1290,708
1291,706
1292,697
1293,700
1294,713
1295,719
1296,706
1297,687
1298,679
1299,684
1300,686
1301,681
1302,677
1303,680
1304,691
1305,702
1306,704
1307,700
1308,700
1309,696
