,Unnamed: 0,current,temp,rpm,vibrAvg,vibrStd
0,0,1.53,35.37,0.0,676.3139534883721,28.770110577898436
1,1,1.33,35.39,99.0,670.5,28.133575350735352
2,2,1.13,35.39,99.0,676.0271317829457,24.55706927675315
3,3,0.98,35.43,99.0,675.3100775193799,24.315369322001025
4,4,0.9,35.39,672.0,674.3178294573644,21.558639878904224
5,5,0.84,35.39,672.0,678.4108527131783,27.00362088930567
6,6,0.8,35.39,1407.0,677.6085271317829,22.321250454704973
7,7,0.81,35.39,1407.0,676.5542635658915,24.967245233208732
8,8,0.88,35.43,2187.0,677.4612403100775,17.67954544505603
9,9,0.8,35.39,2187.0,676.6356589147287,23.071825156209457
10,10,1.03,35.43,3018.0,674.4496124031008,25.03670522207146
11,11,0.92,35.38,3018.0,677.8023255813954,21.531023102304758
12,12,0.79,35.43,3720.0,675.6511627906976,25.89757737997502
13,13,1.13,35.39,4044.0,676.5038759689922,19.255774944099095
14,14,1.15,35.43,4080.0,679.9961240310078,18.206715274889522
15,15,1.15,35.43,4080.0,675.3139534883721,34.14013356782373
16,16,1.14,35.4,4080.0,675.5116279069767,32.76948293883505
17,17,1.16,35.43,4095.0,674.546511627907,25.97702785546016
18,18,1.19,35.43,4134.0,673.6589147286821,23.065964094253246
19,19,1.17,35.43,4134.0,673.1899224806201,25.691799871051188
20,20,1.16,35.43,4134.0,670.9922480620155,29.016033024271202
21,21,1.27,35.43,4161.0,678.5852713178294,29.771782074174247
22,22,1.18,35.43,4161.0,675.0503875968992,32.50452234256005
23,23,1.18,35.43,4161.0,674.0503875968992,30.76532484840788
24,24,1.2,35.43,4161.0,676.8178294573644,36.13446238749002
25,25,1.19,35.43,4170.0,673.8643410852713,30.902588382720918
26,26,1.18,35.43,4170.0,676.1666666666666,29.384370241172164
27,27,1.19,35.43,4170.0,672.8953488372093,37.07640207422756
28,28,1.17,35.43,4170.0,671.1705426356589,35.41812789273985
29,29,1.18,35.43,4230.0,673.5348837209302,30.91875989360783
30,30,1.19,35.45,4254.0,675.1356589147287,30.088129721656458
31,31,1.2,35.45,4254.0,676.4496124031008,32.66994001325873
32,32,1.19,35.45,4254.0,674.0038759689922,32.76513770065305
33,33,1.2,35.43,4302.0,677.7286821705426,28.434816506110845
34,34,1.2,35.47,4302.0,676.3953488372093,31.81582625160175
35,35,1.2,35.45,4302.0,677.6821705426356,30.40131690745237
36,36,1.19,35.45,4446.0,673.2558139534884,33.215593393653506
37,37,1.17,35.45,4446.0,673.7751937984497,33.584497233393364
38,38,1.27,35.43,4446.0,674.6434108527131,31.353646339041344
39,39,1.18,35.43,4467.0,673.531007751938,32.010066968947896
40,40,1.2,35.53,4458.0,672.7829457364342,30.969968258916502
41,41,1.23,35.55,4458.0,676.8604651162791,30.877413080492296
42,42,1.27,35.53,4389.0,672.922480620155,30.560300640567533
43,43,1.13,35.55,4389.0,675.5116279069767,31.761860088235505
44,44,1.02,35.53,4389.0,673.7480620155038,35.895121995417725
45,45,1.0,35.59,4389.0,669.0968992248062,30.700641202264073
46,46,1.48,35.55,4314.0,678.2674418604652,32.71361204201956
47,47,1.12,35.61,4314.0,676.3294573643411,29.840207262567535
48,48,1.03,35.61,4314.0,676.4186046511628,30.82828100431337
49,49,1.08,35.59,4284.0,675.0387596899225,30.929127061512943
50,50,1.07,35.59,4284.0,675.2170542635658,32.1775503715212
51,51,1.08,35.59,4284.0,676.6124031007752,32.028768579290194
52,52,1.08,35.61,4284.0,671.453488372093,31.63662029429208
53,53,1.13,35.59,4284.0,682.031007751938,35.16493540346936
54,54,1.07,35.59,4284.0,677.2945736434109,31.599088177595085
55,55,1.08,35.59,4284.0,674.7674418604652,33.075907911251605
56,56,1.08,35.59,4284.0,677.1279069767442,34.39289514862808
57,57,1.05,35.61,4284.0,672.484496124031,31.509592361574924
58,58,1.07,35.61,4284.0,679.1162790697674,33.757486199756805
59,59,1.1,35.61,4284.0,672.5116279069767,33.39257130381174
60,60,1.11,35.61,4284.0,673.3953488372093,34.33700257460667
61,61,1.05,35.59,4284.0,680.6666666666666,34.34533545015193
62,62,1.06,35.59,4284.0,675.2596899224807,32.658059345495865
63,63,1.08,35.59,4284.0,673.4341085271318,31.74543731147437
64,64,1.09,35.59,4284.0,676.9961240310078,32.565199723614164
65,65,1.1,35.59,4266.0,678.4573643410853,32.74271509058029
66,66,1.1,35.61,4266.0,672.7751937984497,37.80667680461949
67,67,1.11,35.61,4266.0,675.5232558139535,33.3474985676213
68,68,1.1,35.59,4266.0,675.7364341085271,31.8949388174384
69,69,1.17,35.59,4266.0,674.6705426356589,32.353725455785415
70,70,1.12,35.59,4266.0,677.9031007751938,33.98692050743921
71,71,1.09,35.59,4266.0,675.077519379845,33.56091589955594
72,72,1.09,35.61,4266.0,674.5503875968992,34.39047579535887
73,73,1.08,35.61,4266.0,675.3682170542636,34.694124079710015
74,74,1.1,35.61,4266.0,678.7441860465116,36.993563041534976
75,75,1.16,35.6,4266.0,676.468992248062,32.67482803866807
76,76,1.15,35.59,4266.0,678.0116279069767,29.486888763954497
77,77,1.13,35.59,4266.0,674.5348837209302,34.72372611369692
78,78,1.1,35.59,4266.0,670.8992248062016,36.20031370827287
79,79,1.14,35.59,4266.0,676.9263565891473,33.747902649456385
80,80,1.1,35.59,4266.0,673.2131782945736,35.55295619986622
81,81,1.07,35.59,4266.0,672.4806201550388,28.142797769270818
82,82,1.09,35.61,4266.0,673.5,34.394119066442
83,83,1.1,35.61,4266.0,674.2984496124031,46.960234677939496
84,84,1.14,35.59,4275.0,672.1976744186046,47.20082932709249
85,85,1.08,35.59,4275.0,675.2674418604652,35.24468988051607
86,86,1.1,35.59,4275.0,674.4263565891473,36.593890114366104
87,87,1.12,35.59,4275.0,674.7829457364342,34.1618267489681
88,88,1.13,35.59,4275.0,678.0102389078498,32.9973092957901
